Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,15/09/14,Eibar,La Coruna,0,1,A,0,1,A,14,4,2,1,11,23,4,8,0,5,0,0,2.1,3.2,3.6,2.05,3.3,3.6,2.2,3.3,3.1,2.1,3.2,3.6,2.09,3.22,4.34,2.15,3,3.75,,,,2.1,3.2,4.2,43,2.21,2.09,3.3,3.18,4.34,3.84,34,2.84,2.58,1.55,1.48,22,-0.5,2.12,2.08,1.86,1.8
SP1,19/09/14,Elche,Eibar,0,2,A,0,2,A,15,8,6,4,9,10,10,7,2,1,0,0,2.15,3,3.8,2.35,3.2,3.3,2.2,3.2,3.2,2.15,3.1,3.6,2.23,3.13,3.98,2.3,2.88,3.6,,,,2.3,3.1,3.8,48,2.3,2.21,3.3,3.05,3.98,3.7,39,3,2.78,1.52,1.42,27,-0.25,1.91,1.87,2.05,2
SP1,20/09/14,Ath Bilbao,Granada,0,1,A,0,1,A,13,3,5,2,14,20,7,5,2,4,0,0,1.44,4.2,7.5,1.48,4.33,7.5,1.45,4,7,1.45,4.33,7,1.44,4.73,8.69,1.44,4,8,,,,1.45,4.6,8.5,48,1.5,1.43,4.75,4.38,8.8,7.81,46,1.95,1.85,2.06,1.95,24,-1,1.78,1.72,2.26,2.18
SP1,20/09/14,Ath Madrid,Celta,2,2,D,2,1,H,18,5,8,5,9,17,6,3,1,3,0,0,1.44,4.2,7.5,1.53,4,7.5,1.5,4,6.1,1.5,4.2,7,1.49,4.39,8.26,1.5,4,7,,,,1.5,4.4,7.5,48,1.51,1.47,4.65,4.22,8.6,7.4,46,2.02,1.92,1.97,1.87,30,-1,1.86,1.82,2.14,2.05
SP1,20/09/14,Espanol,Malaga,2,2,D,1,0,H,13,9,8,3,14,16,7,2,2,3,0,0,2,3.3,3.75,2.25,3.4,3.3,2.1,3.3,3.3,2.15,3.3,3.4,2.19,3.35,3.78,2.2,3.2,3.4,,,,2.2,3.3,3.75,48,2.2,2.12,3.4,3.26,4,3.63,42,2.4,2.25,1.74,1.62,23,-0.5,2.19,2.12,1.81,1.76
SP1,20/09/14,La Coruna,Real Madrid,2,8,A,0,3,A,14,19,5,13,8,9,2,3,1,1,0,0,9.5,6,1.25,9.75,5.5,1.33,7.2,5,1.35,9,5.5,1.3,11.58,6.39,1.29,11,5,1.3,,,,11,6,1.3,47,12,10.21,6.41,5.8,1.35,1.28,38,1.5,1.44,2.88,2.7,25,1.5,2.12,2.05,1.85,1.8
SP1,21/09/14,Cordoba,Sevilla,1,3,A,0,1,A,9,15,3,8,11,24,7,4,6,2,0,0,3.8,3.3,2,3.8,3.5,2.05,3.8,3.45,1.9,3.8,3.3,2,4.41,3.5,1.97,4,3.2,2,,,,4.33,3.3,2,46,4.5,4.07,3.6,3.32,2,1.96,42,2.33,2.21,1.75,1.65,22,0.5,1.97,1.91,2,1.97
SP1,21/09/14,Levante,Barcelona,0,5,A,0,2,A,9,17,2,8,13,11,3,6,1,2,1,0,15,7.5,1.18,14,6.75,1.22,12,5.5,1.22,13,6.5,1.2,18.43,7.84,1.19,15,6,1.2,,,,17,7.5,1.2,46,19.62,15.43,8.4,7.24,1.22,1.18,38,1.47,1.44,2.98,2.71,24,2,2.16,2.06,1.87,1.81
SP1,21/09/14,Sociedad,Almeria,1,2,A,0,1,A,22,13,6,5,19,17,13,7,1,6,0,1,1.44,4.5,6.5,1.5,4.25,7.25,1.5,4,6.1,1.5,4.33,6,1.46,4.85,7.7,1.44,4,8,,,,1.45,4.5,8,48,1.5,1.44,4.85,4.4,8.5,7.35,43,1.85,1.73,2.2,2.08,22,-1.25,2.05,1.98,1.95,1.89
SP1,21/09/14,Villarreal,Vallecano,4,2,H,1,2,A,19,10,9,3,11,18,11,5,2,2,0,0,1.53,3.8,6.5,1.6,4,6,1.5,4,6.1,1.55,4,6,1.56,4.37,6.71,1.57,3.8,6,,,,1.57,4.1,6.5,45,1.57,1.54,4.5,4.03,7,6.32,42,1.84,1.78,2.16,2.02,26,-1,1.98,1.93,1.99,1.93
SP1,22/09/14,Getafe,Valencia,0,3,A,0,2,A,12,7,5,3,25,17,6,1,6,1,0,1,3.6,3.3,2.05,3.75,3.4,2.1,3.3,3.3,2.1,3.75,3.4,2,4.03,3.51,2.05,3.6,3.3,2.05,,,,4,3.4,2.05,44,4.05,3.76,3.7,3.35,2.1,2.02,41,2.2,2.1,1.85,1.71,21,0.5,1.89,1.85,2.07,2.03
SP1,23/09/14,Celta,La Coruna,2,1,H,1,0,H,11,5,4,3,15,15,13,4,3,3,0,0,1.57,3.75,6,1.62,3.75,5.5,1.7,3.6,4.7,1.61,4,5.5,1.62,4.12,6.19,1.57,3.8,6,,,,1.65,4,6,44,1.7,1.59,4.35,3.96,6.21,5.88,43,1.91,1.82,2.12,1.97,28,-1,2.25,2.07,1.86,1.81
SP1,23/09/14,Real Madrid,Elche,5,1,H,3,1,H,23,10,12,3,15,15,8,2,2,1,0,0,1.08,12,23,1.08,10,21,1.07,9.5,22,1.08,11,26,1.09,13.49,38.06,1.08,11,34,,,,1.09,13,31,44,1.1,1.08,15,11.78,46,30.13,35,1.28,1.24,4.35,3.91,25,-3,2.23,2.14,1.77,1.74
SP1,24/09/14,Almeria,Ath Madrid,0,1,A,0,0,D,6,19,1,9,14,16,2,10,3,6,0,0,6,3.8,1.57,5.75,3.6,1.62,4.7,3.6,1.7,6,4,1.57,6.4,4.02,1.62,6,3.6,1.62,,,,6,3.9,1.67,45,6.6,5.88,4.4,3.87,1.7,1.6,42,2.15,2.05,1.83,1.76,26,1,1.86,1.79,2.17,2.08
