Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,18/10/14,Levante,Real Madrid,0,5,A,0,2,A,11,21,1,11,13,8,6,3,4,0,0,0,13,7.5,1.17,12.5,6.5,1.2,13,5.8,1.2,13,7,1.2,18.07,7.95,1.19,15,5.5,1.22,,,,19,7.5,1.18,46,19,15.25,7.99,7.04,1.22,1.18,36,1.41,1.35,3.44,3.11,25,2,2.22,2.08,1.83,1.78
SP1,19/10/14,Ath Madrid,Espanol,2,0,H,1,0,H,20,7,9,1,19,19,12,1,0,0,0,0,1.33,4.75,9.5,1.36,4.4,9,1.35,4.8,7.6,1.36,4.5,10,1.37,4.96,11.2,1.36,4.5,9,,,,1.36,4.8,12,46,1.37,1.34,5.2,4.74,12,10.29,45,2.07,1.98,1.93,1.81,28,-1.5,2.14,2.07,1.89,1.8
SP1,19/10/14,Elche,Sevilla,0,2,A,0,0,D,12,10,1,7,18,23,6,4,5,2,0,0,3.6,3.4,2.05,3.7,3.25,2.05,3.6,3.3,2,3.6,3.4,2.05,4.29,3.42,2.02,4,3.2,2,,,,4.1,3.4,2.05,46,4.24,3.85,3.5,3.35,2.07,2.02,44,2.3,2.18,1.78,1.67,24,0.5,1.91,1.85,2.06,2.01
SP1,19/10/14,La Coruna,Valencia,3,0,H,2,0,H,11,8,5,1,19,19,3,5,3,3,0,0,4.5,3.4,1.83,4,3.4,1.91,3.8,3.45,1.9,4,3.6,1.9,4.36,3.68,1.93,4.2,3.3,1.91,,,,4.33,3.6,1.92,45,4.8,4.23,3.75,3.53,1.94,1.88,44,2,1.92,1.98,1.87,23,0.5,2.02,1.98,1.93,1.89
SP1,19/10/14,Villarreal,Almeria,2,0,H,1,0,H,17,10,8,3,20,16,6,4,5,2,0,0,1.33,5,9,1.36,4.6,8.25,1.45,4,7,1.4,4.5,8,1.35,5.61,10.13,1.36,4.5,9,,,,1.36,5.2,9.5,46,1.45,1.35,5.61,5.03,10.13,8.99,43,1.77,1.66,2.35,2.19,28,-1.5,2.1,1.99,1.95,1.88
SP1,20/10/14,Sociedad,Getafe,1,2,A,0,0,D,13,16,2,7,10,13,8,4,1,3,0,0,1.53,4,6,1.57,3.75,6,1.65,3.6,5.1,1.61,3.8,5.5,1.57,4.25,6.77,1.57,3.8,6,,,,1.57,4,6.5,46,1.65,1.56,4.25,3.96,7,6.14,45,2,1.9,2.04,1.89,28,-1,2.02,1.97,1.94,1.89
SP1,24/10/14,Celta,Levante,3,0,H,1,0,H,13,4,4,0,14,16,7,0,0,3,0,0,1.44,4.5,6,1.5,4.1,6.25,1.5,4,6.1,1.5,4.33,7,1.51,4.7,6.85,1.44,4.2,7.5,,,,1.5,4.5,6.5,45,1.52,1.47,4.74,4.37,8.1,7.1,40,1.87,1.77,2.25,2.03,26,-1,1.84,1.78,2.17,2.1
SP1,25/10/14,Almeria,Ath Bilbao,0,1,A,0,0,D,7,6,3,1,10,14,4,8,2,1,0,0,3.3,3.25,2.2,3.2,3.2,2.25,2.75,3.3,2.4,3.3,3.3,2.2,3.52,3.52,2.21,3.4,3.3,2.15,,,,3.5,3.3,2.25,44,3.79,3.48,3.55,3.35,2.4,2.15,42,2.2,2.07,1.81,1.74,25,0.25,2.11,2.04,1.89,1.83
SP1,25/10/14,Cordoba,Sociedad,1,1,D,0,1,A,7,7,3,1,13,12,5,4,3,2,0,0,3.4,3.2,2.2,3,3.3,2.3,2.9,3.3,2.3,3.4,3.25,2.15,3.51,3.38,2.28,3.3,3.2,2.25,,,,3.5,3.4,2.25,45,3.6,3.27,3.4,3.29,2.4,2.26,43,2.38,2.16,1.75,1.68,25,0.25,2.01,1.93,1.96,1.94
SP1,25/10/14,Eibar,Granada,1,1,D,1,1,D,7,8,3,3,14,14,7,8,3,4,0,0,2.1,3.1,3.75,2.15,3.25,3.4,2.1,3.3,3.3,2.2,3.1,3.5,2.14,3.2,4.15,2.15,3.1,3.6,,,,2.15,3.2,4,45,2.2,2.13,3.4,3.16,4.1,3.72,35,3,2.68,1.51,1.45,25,-0.25,1.86,1.82,2.13,2.06
SP1,25/10/14,Real Madrid,Barcelona,3,1,H,1,1,D,18,16,6,5,11,10,3,9,2,4,0,0,2.38,3.75,3,2.4,3.6,2.9,2.2,3.3,3.1,2.3,3.6,2.9,2.39,3.75,2.99,2.38,3.4,2.88,,,,2.38,3.8,2.9,45,2.44,2.34,3.8,3.56,3.2,2.92,39,1.54,1.49,2.86,2.57,26,-0.25,2.11,2.06,1.86,1.82
SP1,25/10/14,Valencia,Elche,3,1,H,2,0,H,12,8,4,3,11,17,8,6,0,2,0,0,1.36,4.75,8.5,1.36,4.6,8.25,1.35,5,7.2,1.36,4.75,8.5,1.4,4.87,9.84,1.36,4.8,8.5,,,,1.4,4.8,9.5,44,1.4,1.38,5.08,4.72,10.5,8.8,43,1.85,1.78,2.14,2.03,25,-1.5,2.19,2.12,1.81,1.75
SP1,26/10/14,Espanol,La Coruna,0,0,D,0,0,D,16,5,5,1,12,17,11,0,2,4,0,0,1.91,3.4,4,1.91,3.3,4.1,1.85,3.45,4,1.85,3.5,4.33,1.9,3.53,4.75,1.85,3.4,4.4,,,,1.73,3.4,4.6,45,1.95,1.86,3.65,3.43,5,4.41,42,2.34,2.23,1.72,1.64,25,-0.5,1.92,1.88,2.05,1.99
SP1,26/10/14,Getafe,Ath Madrid,0,1,A,0,1,A,11,12,4,7,17,11,1,8,3,3,1,0,7,3.75,1.53,6,3.8,1.57,5.6,3.75,1.57,6.5,3.75,1.6,7.59,4.14,1.55,7,3.6,1.57,,,,7.5,3.8,1.57,45,7.85,6.82,4.14,3.82,1.6,1.55,41,2.31,2.19,1.74,1.66,29,1,1.95,1.89,2.08,1.97
SP1,26/10/14,Malaga,Vallecano,4,0,H,3,0,H,18,10,8,4,18,21,7,4,1,4,0,0,1.83,3.5,4.33,1.91,3.3,4.1,1.85,3.45,4,1.9,3.5,4,1.95,3.58,4.38,1.83,3.5,4.2,,,,1.95,3.5,4.3,45,2.02,1.91,3.6,3.45,4.5,4.15,44,2.14,1.99,1.9,1.81,25,-0.5,1.98,1.92,1.99,1.95
SP1,26/10/14,Sevilla,Villarreal,2,1,H,0,0,D,8,11,4,4,19,15,3,2,3,4,0,0,2,3.4,3.75,2.1,3.25,3.5,2,3.3,3.6,2.1,3.4,3.5,2.15,3.56,3.67,2.05,3.4,3.6,,,,2.15,3.4,3.5,45,2.18,2.1,3.6,3.4,3.8,3.53,44,1.91,1.81,2.09,1.99,25,-0.25,1.88,1.83,2.09,2.04
SP1,31/10/14,La Coruna,Getafe,1,2,A,0,1,A,9,16,2,4,7,23,4,6,2,1,0,0,2.2,3.1,3.5,2.3,3.1,3.2,2.2,3.2,3.2,2.25,3.2,3.5,2.33,3.2,3.59,2.3,3,3.5,,,,2.38,3.25,3.4,46,2.38,2.27,3.4,3.15,3.7,3.45,37,2.56,2.44,1.6,1.54,25,-0.25,2,1.95,1.97,1.92
SP1,1/11/2014,Ath Madrid,Cordoba,4,2,H,1,0,H,16,8,8,4,12,13,4,5,0,2,0,0,1.18,6.5,15,1.2,6,14.5,1.22,5.5,12,1.2,6,15,1.21,7.06,19.44,1.2,6,15,,,,1.2,6.5,21,46,1.22,1.19,7.5,6.5,23,17.33,44,1.8,1.72,2.25,2.11,29,-2,2.14,2.03,1.91,1.84
SP1,1/11/2014,Barcelona,Celta,0,1,A,0,0,D,19,10,9,4,10,29,9,5,1,2,0,0,1.13,8.5,17,1.11,8.25,19,1.15,7,15,1.15,8.5,17,1.14,10.39,22.5,1.14,7,21,,,,1.15,9,23,46,1.15,1.13,10.5,8.58,24,19.57,39,1.32,1.27,4.1,3.66,29,-2.5,2.06,1.99,1.96,1.87
SP1,1/11/2014,Granada,Real Madrid,0,4,A,0,2,A,11,18,5,8,19,9,3,4,1,2,0,0,12,7,1.2,10.5,5.75,1.25,14,6.5,1.17,11,6,1.25,14.45,6.84,1.24,12,5.5,1.25,,,,13,7,1.25,45,15,12.48,7.01,6.29,1.26,1.23,38,1.49,1.44,3.05,2.73,24,1.75,2.08,2.02,1.88,1.85
SP1,1/11/2014,Sociedad,Malaga,0,1,A,0,0,D,5,6,0,2,18,22,6,3,2,5,0,0,2.2,3.4,3.2,2.1,3.3,3.4,2,3.3,3.6,2.15,3.4,3.4,2.22,3.45,3.58,2.2,3.3,3.3,,,,2.2,3.5,3.5,46,2.25,2.15,3.5,3.33,3.75,3.49,45,2.02,1.93,1.93,1.87,25,-0.25,1.92,1.87,2.04,2
SP1,2/11/2014,Ath Bilbao,Sevilla,1,0,H,1,0,H,9,4,2,1,24,11,4,8,4,3,0,0,2.4,3.3,2.9,2.4,3.25,2.9,2.35,3.3,2.85,2.3,3.4,3,2.52,3.43,3.01,2.4,3.1,3.1,,,,2.5,3.4,3,46,2.54,2.44,3.43,3.29,3.1,2.95,45,2.03,1.93,1.95,1.87,24,0,1.8,1.74,2.19,2.13
SP1,2/11/2014,Elche,Espanol,2,1,H,1,0,H,11,15,5,5,19,10,4,10,2,2,2,0,2.63,3.1,2.75,2.65,3.2,2.65,2.6,3.1,2.7,2.7,3.1,2.8,2.68,3.13,3.05,2.62,2.9,3,,,,2.7,3.1,3,46,2.8,2.66,3.3,3.05,3.05,2.87,36,2.73,2.54,1.57,1.5,28,0,1.88,1.85,2.09,2.01
SP1,2/11/2014,Levante,Almeria,2,1,H,1,0,H,11,14,5,5,17,17,3,6,3,2,0,0,2.4,3.1,3.1,2.4,3.1,3,2.3,3.3,2.9,2.37,3.1,3.2,2.5,3.29,3.16,2.4,3.1,3.1,,,,2.45,3.25,3.2,46,2.5,2.42,3.3,3.18,3.3,3.08,41,2.44,2.31,1.67,1.6,25,0,1.76,1.71,2.23,2.18
SP1,2/11/2014,Villarreal,Valencia,1,3,A,0,1,A,14,6,4,3,12,15,11,4,2,3,0,0,2.1,3.4,3.4,2.1,3.3,3.4,2.2,3.3,3.1,2.15,3.5,3.4,2.09,3.64,3.74,2.1,3.2,3.6,,,,2.15,3.6,3.6,46,2.2,2.09,3.66,3.45,3.75,3.51,44,1.92,1.82,2.07,1.99,24,-0.5,2.14,2.08,1.85,1.8
SP1,3/11/2014,Vallecano,Eibar,2,3,A,0,1,A,16,8,6,5,10,14,11,2,1,2,0,0,2.05,3.2,3.8,2.05,3.2,3.75,2,3.3,3.6,2,3.3,4,2.05,3.46,4.12,2,3.2,4,,,,2.05,3.3,4.2,46,2.1,2.03,3.46,3.31,4.2,3.9,42,2.38,2.26,1.69,1.62,25,-0.5,2.06,2.02,1.9,1.86
SP1,7/11/2014,Cordoba,La Coruna,0,0,D,0,0,D,14,6,6,2,10,5,3,2,4,0,0,1,2.25,3.1,3.4,2.35,3.1,3.1,2.4,3.3,2.75,2.3,3.1,3.4,2.37,3.22,3.49,2.3,3.1,3.3,,,,2.38,3.2,3.4,44,2.4,2.32,3.4,3.18,3.5,3.29,36,2.62,2.47,1.59,1.53,26,-0.25,2.03,1.98,1.94,1.9
SP1,8/11/2014,Almeria,Barcelona,1,2,A,1,0,H,6,18,2,6,16,9,4,5,2,0,0,0,17,7.5,1.14,12.5,6.5,1.2,12.5,6,1.2,13,7,1.18,21.08,8.5,1.17,15,6,1.2,,,,20,8,1.18,44,21,16.78,8.42,7.32,1.2,1.17,37,1.4,1.34,3.5,3.18,25,2,2.24,2.12,1.81,1.76
SP1,8/11/2014,Celta,Granada,0,0,D,0,0,D,17,8,5,1,14,17,6,2,1,5,0,0,1.57,3.8,6,1.6,3.6,6,1.6,3.7,5.4,1.6,3.75,6,1.57,4.18,6.96,1.6,3.6,6,,,,1.57,4,6.5,44,1.6,1.56,4.24,3.93,7,6.29,43,2,1.94,1.94,1.85,29,-1,2.02,1.96,1.98,1.9
SP1,8/11/2014,Getafe,Elche,0,0,D,0,0,D,16,11,3,5,11,8,9,2,1,2,0,0,2,3.2,4,2.05,3.3,3.6,1.9,3.45,3.8,2,3.25,4,2.03,3.31,4.43,2.05,3.1,4,,,,2.05,3.25,4.33,44,2.06,2,3.5,3.25,4.52,4.06,34,2.65,2.51,1.6,1.51,25,-0.5,2.05,2.01,1.91,1.87
SP1,8/11/2014,Malaga,Eibar,2,1,H,0,1,A,15,7,8,3,9,15,5,3,3,2,0,1,1.57,3.75,6,1.6,3.5,6.25,1.65,3.6,5.1,1.61,3.6,6,1.58,4.05,7.12,1.62,3.6,6,,,,1.6,3.8,7,44,1.65,1.58,4.1,3.8,7.2,6.42,40,2.34,2.21,1.72,1.65,29,-1,2.12,2.02,1.91,1.85
SP1,8/11/2014,Real Madrid,Vallecano,5,1,H,2,1,H,16,15,11,6,12,15,4,6,0,4,0,0,1.05,15,26,1.08,9.75,26,1.07,9.5,22,1.08,11,23,1.07,17.49,30.69,1.08,11,26,,,,1.06,15,31,44,1.1,1.07,17.25,13.01,42,27.41,33,1.2,1.16,6,4.98,28,-3,2,1.95,1.96,1.9
SP1,9/11/2014,Espanol,Villarreal,1,1,D,0,1,A,11,9,4,5,16,25,6,7,3,3,0,0,3.1,3.2,2.3,2.75,3.3,2.5,2.65,3.3,2.5,3,3.25,2.4,3.19,3.35,2.45,2.9,3.1,2.5,,,,3.12,3.25,2.5,44,3.2,2.96,3.4,3.22,2.6,2.44,42,2.19,2.1,1.84,1.72,23,0.25,1.84,1.8,2.12,2.08
SP1,9/11/2014,Sevilla,Levante,1,1,D,1,0,H,15,16,6,5,13,10,6,5,2,6,0,0,1.25,5.5,12,1.28,5,11,1.3,5,9,1.3,5.5,9,1.3,5.91,12.68,1.3,5,11,,,,1.29,6,13,44,1.3,1.28,6.1,5.46,13.5,11.69,39,1.69,1.63,2.44,2.26,29,-1.5,1.88,1.84,2.14,2.02
SP1,9/11/2014,Sociedad,Ath Madrid,2,1,H,1,1,D,11,4,5,2,17,17,2,1,2,6,0,1,4.33,3.6,1.8,4.1,3.6,1.83,3.9,3.5,1.85,4.75,3.5,1.8,4.94,3.63,1.84,4.5,3.4,1.83,,,,4.75,3.6,1.87,44,4.96,4.5,3.75,3.53,1.91,1.83,42,2.2,2.11,1.8,1.72,25,0.5,2.1,2.05,1.87,1.82
SP1,9/11/2014,Valencia,Ath Bilbao,0,0,D,0,0,D,8,4,1,1,13,17,2,4,0,2,0,0,1.62,4,5.25,1.67,3.75,5,1.65,3.9,4.6,1.65,3.75,5.5,1.64,4.17,5.9,1.67,3.5,5.5,,,,1.67,4,5.75,44,1.67,1.63,4.17,3.87,6.2,5.5,43,1.95,1.88,2.02,1.92,26,-1,2.21,2.13,1.84,1.75
SP1,21/11/14,Ath Bilbao,Espanol,3,1,H,2,0,H,9,8,5,3,15,18,5,3,0,5,0,0,1.8,3.5,4.5,1.83,3.4,4.4,1.85,3.45,4,1.85,3.4,4.5,1.89,3.65,4.59,1.8,3.4,4.75,,,,1.93,3.5,4.5,47,1.92,1.84,3.65,3.5,5.2,4.53,40,2.38,2.21,1.73,1.65,27,-0.5,1.91,1.86,2.06,2.02
SP1,22/11/14,Ath Madrid,Malaga,3,1,H,2,0,H,11,4,5,1,18,14,4,3,1,3,1,1,1.44,4.2,7.5,1.5,4.2,6,1.45,4,7,1.44,4.2,7.5,1.48,4.45,8.32,1.5,4.33,6,,,,1.45,4.5,8.5,46,1.5,1.46,4.5,4.28,9.3,7.52,46,2.09,1.99,1.9,1.81,29,-1,1.85,1.78,2.15,2.09
SP1,22/11/14,Barcelona,Sevilla,5,1,H,1,0,H,16,2,10,0,8,21,5,4,1,2,0,0,1.2,7,11,1.25,6.25,9.5,1.22,6,11,1.25,6.5,10,1.23,7.34,13.99,1.25,5.5,12,,,,1.22,6.5,13,47,1.3,1.23,7.5,6.53,14.5,11.98,33,1.37,1.33,3.5,3.22,30,-2,2.05,2,1.94,1.87
SP1,22/11/14,Eibar,Real Madrid,0,4,A,0,2,A,10,19,2,8,16,9,4,2,4,2,0,0,15,6.5,1.18,11.5,6.25,1.22,12.5,6,1.2,15,7,1.17,17.05,7.55,1.21,11,6.5,1.22,,,,18,7,1.2,47,18,14.89,7.6,6.78,1.25,1.19,34,1.43,1.39,3.13,2.92,30,2,2.08,2,1.92,1.87
SP1,22/11/14,La Coruna,Sociedad,0,0,D,0,0,D,11,17,4,5,14,11,8,6,3,1,0,0,3.4,3.25,2.15,3,3.4,2.25,2.9,3.3,2.3,3.4,3.3,2.15,3.65,3.36,2.23,3.2,3.1,2.3,,,,3.6,3.3,2.25,47,3.65,3.37,3.4,3.28,2.32,2.22,45,2.25,2.16,1.8,1.68,26,0.25,2.03,1.99,1.98,1.89
SP1,23/11/14,Elche,Cordoba,2,2,D,0,1,A,17,10,6,3,16,14,6,2,3,4,0,0,2,3.2,4,2,3.25,3.75,1.9,3.45,3.8,1.95,3.2,4.5,1.99,3.34,4.59,2,3.2,4,,,,2,3.3,4.5,47,2.02,1.96,3.45,3.27,4.6,4.22,37,2.66,2.5,1.6,1.51,26,-0.5,2.01,1.96,1.95,1.91
SP1,23/11/14,Levante,Valencia,2,1,H,0,0,D,10,17,5,6,20,18,4,5,2,1,0,0,5,3.75,1.67,4.6,3.7,1.72,4.7,3.6,1.7,5,3.6,1.7,6.04,3.87,1.68,5,3.5,1.73,,,,5.75,3.75,1.7,47,6.04,5.34,4,3.71,1.73,1.68,46,2.1,2,1.9,1.79,25,1,1.76,1.71,2.27,2.21
SP1,23/11/14,Vallecano,Celta,1,0,H,1,0,H,9,14,3,4,14,16,2,9,6,4,0,0,2.7,3.3,2.55,2.8,3.1,2.65,2.6,3.2,2.6,2.62,3.4,2.62,2.76,3.6,2.63,2.7,3.1,2.7,,,,2.7,3.5,2.63,47,2.82,2.68,3.6,3.38,2.7,2.59,42,1.76,1.69,2.26,2.15,26,0,2.01,1.96,1.94,1.89
SP1,23/11/14,Villarreal,Getafe,2,1,H,2,0,H,10,15,4,5,15,14,7,4,3,2,0,0,1.44,4.5,6.5,1.5,4,6.5,1.5,4,6.1,1.5,4.33,6.5,1.47,4.84,7.57,1.5,4.33,6,,,,1.5,4.6,7.5,47,1.5,1.46,4.84,4.44,8,7.07,45,1.8,1.73,2.2,2.1,27,-1,1.8,1.75,2.2,2.14
SP1,24/11/14,Granada,Almeria,0,0,D,0,0,D,24,3,11,1,10,7,10,5,4,0,0,1,2,3.3,3.8,2.1,3.3,3.4,2,3.3,3.6,2.05,3.25,3.75,2.11,3.36,4.03,2.1,3.3,3.5,,,,2.1,3.4,4,45,2.15,2.05,3.4,3.3,4.15,3.79,42,2.42,2.31,1.67,1.6,24,-0.5,2.11,2.06,1.88,1.83
SP1,28/11/14,Sociedad,Elche,3,0,H,2,0,H,12,13,8,5,15,15,2,1,2,4,0,0,1.7,3.75,5,1.73,3.6,4.75,1.7,3.6,4.7,1.72,3.6,5,1.71,3.9,5.53,1.67,3.6,5.5,,,,1.73,3.75,5.5,45,1.8,1.7,3.95,3.7,6,5.24,44,2.12,2.04,1.85,1.77,26,0.75,1.99,1.93,2.05,1.94
SP1,29/11/14,Celta,Eibar,0,1,A,0,1,A,29,8,9,2,10,21,15,1,4,5,0,0,1.62,4,5.5,1.67,3.7,5,1.7,3.7,4.5,1.65,3.8,5.25,1.67,4.08,5.72,1.67,3.5,5.5,,,,1.65,4,5.5,47,1.7,1.64,4.09,3.82,6,5.47,46,1.92,1.83,2.05,1.97,27,-1,2.24,2.15,1.8,1.75
SP1,29/11/14,Espanol,Levante,2,1,H,2,1,H,10,16,4,3,21,10,5,6,2,3,0,0,1.67,3.7,5.5,1.73,3.4,5,1.75,3.5,4.5,1.7,3.6,5,1.71,3.77,5.87,1.73,3.3,5.5,,,,1.67,3.7,5.75,47,1.75,1.68,3.8,3.6,6,5.51,44,2.34,2.24,1.71,1.63,26,0.75,1.94,1.9,2.02,1.97
SP1,29/11/14,Getafe,Ath Bilbao,1,2,A,0,1,A,14,8,7,3,12,15,2,4,7,5,0,0,2.88,3.1,2.63,2.8,3.1,2.7,2.6,3.2,2.6,2.9,3.1,2.5,2.93,3.18,2.74,2.7,3.1,2.7,,,,2.88,3.1,2.7,47,3,2.84,3.4,3.11,2.75,2.63,37,2.52,2.4,1.63,1.55,27,0,2.04,1.99,1.92,1.86
SP1,29/11/14,Malaga,Real Madrid,1,2,A,0,1,A,12,21,7,9,17,11,5,6,2,2,0,1,10,6,1.29,8.25,5,1.33,9,5,1.3,9.5,5.5,1.3,10.24,5.92,1.33,9,5,1.33,,,,9.5,5.75,1.3,47,11,9.4,6.6,5.5,1.33,1.31,40,1.51,1.45,3.15,2.7,29,1.5,2.04,1.96,1.95,1.91
SP1,30/11/14,Ath Madrid,La Coruna,2,0,H,1,0,H,9,3,4,1,16,18,5,3,2,2,0,0,1.18,7,17,1.2,6.5,12.5,1.22,5.5,12,1.2,6,15,1.19,7.5,21.5,1.2,5.5,21,,,,1.17,7,22,47,1.22,1.18,7.9,6.67,22,17.6,44,1.69,1.64,2.4,2.24,30,-2,2.1,2,1.93,1.87
SP1,30/11/14,Cordoba,Villarreal,0,2,A,0,1,A,11,10,2,7,7,13,9,8,2,2,0,0,4.33,3.6,1.85,4,3.4,1.91,4,3.45,1.85,4.2,3.3,1.9,4.69,3.62,1.88,4.2,3.3,1.91,,,,4.5,3.5,1.87,47,4.9,4.35,3.75,3.5,1.95,1.86,45,2.25,2.17,1.77,1.68,26,0.5,2.08,2.02,1.89,1.86
SP1,30/11/14,Sevilla,Granada,5,1,H,1,1,D,13,9,8,4,18,20,7,4,1,2,0,0,1.44,4.5,7.5,1.44,4.5,6.5,1.4,4.4,7.3,1.45,4.33,7,1.47,4.6,8.17,1.44,4,8,,,,1.45,4.6,7.5,45,1.48,1.43,5.3,4.4,9,7.68,46,1.93,1.86,2.05,1.94,27,-1.5,2.44,2.33,1.74,1.64
SP1,30/11/14,Valencia,Barcelona,0,1,A,0,0,D,12,7,4,1,9,7,5,5,3,3,0,0,6,4.33,1.53,5.5,4,1.57,5.5,4,1.55,5.5,4.2,1.57,6.07,4.7,1.56,6,3.8,1.57,,,,6.25,4.33,1.53,47,6.6,5.81,4.75,4.3,1.6,1.54,37,1.56,1.51,2.88,2.5,30,1,2.08,2,1.93,1.87
SP1,1/12/2014,Almeria,Vallecano,0,1,A,0,0,D,11,11,1,4,14,12,5,6,4,4,0,0,2.38,3.4,3,2.4,3.3,2.85,2.3,3.3,2.9,2.3,3.4,3,2.46,3.42,3.11,2.4,3.2,3,,,,2.38,3.4,3.1,44,2.5,2.36,3.45,3.32,3.2,3.01,43,1.95,1.88,2,1.91,23,-0.25,2.12,2.06,1.85,1.82
SP1,6/12/2014,Ath Bilbao,Cordoba,0,1,A,0,1,A,15,7,3,3,13,14,15,4,4,6,0,0,1.4,4.5,9,1.4,4.2,8.25,1.4,4.4,7.3,1.4,4.5,8.5,1.4,4.8,10.26,1.4,4.5,8,,,,1.4,4.6,10.5,47,1.43,1.39,5,4.51,11,9.18,45,2.15,2.07,1.85,1.75,29,-1.5,2.25,2.19,1.77,1.71
SP1,6/12/2014,Elche,Ath Madrid,0,2,A,0,1,A,8,4,1,3,18,15,6,1,2,0,0,0,7,3.75,1.57,6.5,4,1.57,5.5,3.8,1.57,6.5,3.8,1.57,7.42,4.04,1.57,7,3.75,1.53,,,,7.5,3.9,1.55,45,7.7,6.85,4.3,3.83,1.62,1.55,44,2.42,2.33,1.67,1.6,30,1,1.92,1.88,2.05,1.99
SP1,6/12/2014,La Coruna,Malaga,0,1,A,0,1,A,14,8,6,3,14,15,5,5,4,3,0,0,3.6,3.25,2.1,3.1,3.25,2.3,2.9,3.3,2.3,3.4,3.2,2.25,3.6,3.3,2.28,3.3,3.1,2.3,,,,3.7,3.2,2.25,47,3.7,3.43,3.3,3.2,2.31,2.23,37,2.56,2.39,1.62,1.56,26,0.25,2.02,1.97,1.95,1.9
SP1,6/12/2014,Real Madrid,Celta,3,0,H,1,0,H,20,9,11,0,15,21,8,7,4,4,0,0,1.09,12,21,1.11,9,17.5,1.1,8,20,1.12,9,17,1.11,14.32,21.68,1.11,9,17,,,,1.12,11,22,45,1.13,1.1,14.32,10.79,26,19.57,38,1.21,1.18,5.25,4.65,27,-2.5,1.98,1.9,2,1.97
SP1,7/12/2014,Barcelona,Espanol,5,1,H,1,1,D,15,3,7,2,6,11,5,2,0,4,0,0,1.09,12,21,1.1,9,19,1.12,8,16,1.1,10,23,1.1,13.52,27.5,1.1,9,26,,,,1.06,12,34,46,1.12,1.09,17,11.13,41,25.87,38,1.32,1.29,3.8,3.5,26,-2.75,2.04,1.99,1.93,1.89
SP1,7/12/2014,Granada,Valencia,1,1,D,0,0,D,9,9,2,1,20,9,4,4,4,4,0,1,3.9,3.4,2,3.6,3.3,2.05,4,3.45,1.85,3.6,3.3,2.1,4.22,3.44,2.03,3.8,3.25,2.05,,,,4.1,3.4,2.05,47,4.22,3.83,3.55,3.33,2.1,2.03,42,2.31,2.18,1.73,1.67,26,0.5,1.91,1.85,2.07,2.02
SP1,7/12/2014,Vallecano,Sevilla,0,1,A,0,1,A,11,11,3,6,14,19,6,2,4,6,0,1,3.3,3.4,2.2,3.1,3.2,2.3,3.3,3.3,2.1,3.2,3.4,2.2,3.37,3.62,2.24,3.3,3.1,2.3,,,,3.3,3.5,2.25,47,3.6,3.28,3.62,3.4,2.3,2.2,45,1.85,1.75,2.17,2.07,26,0.25,2.01,1.96,1.95,1.91
SP1,7/12/2014,Villarreal,Sociedad,4,0,H,0,0,D,24,12,9,2,14,8,8,2,2,2,0,0,1.67,3.75,5.5,1.7,3.75,4.6,1.75,3.5,4.5,1.75,3.6,4.75,1.72,4.04,5.23,1.7,3.6,5,,,,1.73,3.8,5.25,47,1.75,1.7,4.1,3.79,5.5,4.99,45,1.84,1.77,2.15,2.05,26,-0.75,1.92,1.88,2.05,1.99
SP1,8/12/2014,Eibar,Almeria,5,2,H,3,1,H,17,14,8,3,18,12,7,3,4,3,0,0,2.05,3.2,4,2.1,3.2,3.5,2,3.3,3.6,2.1,3.2,3.8,2.08,3.37,4.15,2.1,3.1,3.75,,,,2.05,3.3,4.2,45,2.14,2.04,3.4,3.24,4.2,3.89,37,2.58,2.44,1.59,1.54,24,-0.5,2.1,2.04,1.88,1.84
SP1,8/12/2014,Levante,Getafe,1,1,D,0,0,D,16,5,3,1,14,17,4,0,3,4,0,0,2.6,3.1,2.9,2.62,3.1,2.75,2.4,3.3,2.75,2.45,3.1,3,2.65,3.18,3.04,2.62,3,2.9,,,,2.55,3.2,3.1,45,2.65,2.53,3.3,3.11,3.15,2.96,37,2.62,2.45,1.58,1.53,25,0,1.83,1.78,2.16,2.09
