res,team,oteam,day,mon,yea,gs,ogs,sh,osho,st,ost,co,oco,fo,ofo,ye,oye,re,ore
1,4,22,12,09,2010,0,0,15,14,3,8,4,3,8,9,1,0,0,0
1,22,4,12,09,2010,0,0,14,15,8,3,3,4,9,8,0,1,0,0
2,36,2,13,09,2010,2,1,20,10,12,6,8,7,11,14,1,2,0,0
0,2,36,13,09,2010,1,2,10,20,6,12,7,8,14,11,2,1,0,0
1,2,7,18,09,2010,1,1,13,13,6,7,8,4,15,8,1,2,0,0
1,7,2,18,09,2010,1,1,13,13,7,6,4,8,8,15,2,1,0,0
1,5,17,18,09,2010,1,1,9,9,5,4,3,3,15,10,0,1,0,0
1,17,5,18,09,2010,1,1,9,9,4,5,3,3,10,15,1,0,0,0
0,16,26,18,09,2010,0,1,6,9,3,4,3,6,15,21,2,3,0,0
2,26,16,18,09,2010,1,0,9,6,4,3,6,3,21,15,3,2,0,0
1,36,42,18,09,2010,1,1,9,13,3,6,6,3,14,8,3,2,0,0
1,42,36,18,09,2010,1,1,13,9,6,3,3,6,8,14,2,3,0,0
1,37,1,18,09,2010,1,1,16,16,5,7,11,3,11,13,2,2,0,1
1,1,37,18,09,2010,1,1,16,16,7,5,3,11,13,11,2,2,1,0
2,39,45,18,09,2010,3,1,20,5,11,2,5,4,7,11,3,3,0,0
0,45,39,18,09,2010,1,3,5,20,2,11,4,5,11,7,3,3,0,0
2,41,4,18,09,2010,3,1,16,6,10,3,5,0,11,8,1,1,0,0
0,4,41,18,09,2010,1,3,6,16,3,10,0,5,8,11,1,1,0,0
2,12,6,19,09,2010,4,0,27,11,15,4,9,6,7,4,1,2,0,0
0,6,12,19,09,2010,0,4,11,27,4,15,6,9,4,7,2,1,0,0
2,24,22,19,09,2010,3,2,16,7,7,1,6,1,15,10,4,1,0,0
0,22,24,19,09,2010,2,3,7,16,1,7,1,6,10,15,1,4,0,0
0,43,23,19,09,2010,0,2,9,11,3,5,3,1,10,14,1,2,0,0
2,23,43,19,09,2010,2,0,11,9,5,3,1,3,14,10,2,1,0,0
0,1,41,25,09,2010,2,3,24,7,12,5,16,4,15,14,4,3,0,0
2,41,1,25,09,2010,3,2,7,24,5,12,4,16,14,15,3,4,0,0
1,4,43,25,09,2010,0,0,10,17,4,10,3,7,12,18,2,3,1,0
1,43,4,25,09,2010,0,0,17,10,10,4,7,3,18,12,3,2,0,1
0,6,5,25,09,2010,1,2,11,13,8,8,8,8,12,11,2,1,0,0
2,5,6,25,09,2010,2,1,13,11,8,8,8,8,11,12,1,2,0,0
1,17,16,25,09,2010,0,0,12,15,2,7,4,5,15,13,2,1,0,0
1,16,17,25,09,2010,0,0,15,12,7,2,5,4,13,15,1,2,0,0
1,22,37,25,09,2010,2,2,13,10,5,1,3,3,15,7,3,1,0,0
1,37,22,25,09,2010,2,2,10,13,1,5,3,3,7,15,1,3,0,0
2,23,12,25,09,2010,1,0,8,15,6,4,3,4,10,12,2,3,0,0
0,12,23,25,09,2010,0,1,15,8,4,6,4,3,12,10,3,2,0,0
2,42,39,25,09,2010,1,0,22,17,15,11,14,7,10,11,2,0,0,0
0,39,42,25,09,2010,0,1,17,22,11,15,7,14,11,10,0,2,0,0
1,7,24,26,09,2010,2,2,15,12,9,6,7,12,16,18,1,2,0,0
1,24,7,26,09,2010,2,2,12,15,6,9,12,7,18,16,2,1,0,0
0,26,36,26,09,2010,1,2,11,8,7,2,3,4,8,11,0,1,0,0
2,36,26,26,09,2010,2,1,8,11,2,7,4,3,11,8,1,0,0,0
0,45,2,26,09,2010,1,2,14,10,12,8,5,4,15,19,1,2,0,0
2,2,45,26,09,2010,2,1,10,14,8,12,4,5,19,15,2,1,0,0
0,4,16,02,10,2010,0,2,6,11,3,6,6,5,5,11,0,0,0,0
2,16,4,02,10,2010,2,0,11,6,6,3,5,6,11,5,0,0,0,0
2,36,5,02,10,2010,1,0,18,7,11,4,8,6,8,13,2,3,0,0
0,5,36,02,10,2010,0,1,7,18,4,11,6,8,13,8,3,2,0,0
1,37,24,02,10,2010,0,0,14,10,8,4,10,4,10,6,1,2,0,0
1,24,37,02,10,2010,0,0,10,14,4,8,4,10,6,10,2,1,0,0
2,39,2,02,10,2010,2,1,19,13,10,4,10,4,12,19,1,3,0,0
0,2,39,02,10,2010,1,2,13,19,4,10,4,10,19,12,3,1,0,0
1,41,7,02,10,2010,1,1,17,10,9,5,7,4,8,10,3,2,0,0
1,7,41,02,10,2010,1,1,10,17,5,9,4,7,10,8,2,3,0,0
1,42,17,02,10,2010,1,1,12,17,5,5,2,3,15,8,3,1,0,0
1,17,42,02,10,2010,1,1,17,12,5,5,3,2,8,15,1,3,0,0
2,43,45,02,10,2010,2,0,24,2,17,0,3,3,9,12,1,2,0,1
0,45,43,02,10,2010,0,2,2,24,0,17,3,3,12,9,2,1,1,0
2,12,1,03,10,2010,2,0,11,13,6,5,10,10,7,12,1,1,0,0
0,1,12,03,10,2010,0,2,13,11,5,6,10,10,12,7,1,1,0,0
0,22,6,03,10,2010,1,2,19,11,10,7,5,2,11,10,2,1,0,0
2,6,22,03,10,2010,2,1,11,19,7,10,2,5,10,11,1,2,0,0
2,23,26,03,10,2010,2,1,9,8,5,4,4,4,11,13,3,2,0,0
0,26,23,03,10,2010,1,2,8,9,4,5,4,4,13,11,2,3,0,0
2,1,4,16,10,2010,2,1,18,6,13,4,7,3,16,9,2,2,1,0
0,4,1,16,10,2010,1,2,6,18,4,13,3,7,9,16,2,2,0,1
1,2,12,16,10,2010,0,0,11,13,5,6,9,5,11,11,4,3,0,0
1,12,2,16,10,2010,0,0,13,11,6,5,5,9,11,11,3,4,0,0
2,7,36,16,10,2010,2,1,11,8,6,3,5,6,10,8,2,2,1,0
0,36,7,16,10,2010,1,2,8,11,3,6,6,5,8,10,2,2,0,1
0,17,39,16,10,2010,1,2,11,14,5,6,4,11,9,10,1,1,0,0
2,39,17,16,10,2010,2,1,14,11,6,5,11,4,10,9,1,1,0,0
1,24,41,16,10,2010,2,2,16,7,9,2,3,2,10,7,1,2,0,0
1,41,24,16,10,2010,2,2,7,16,2,9,2,3,7,10,2,1,0,0
1,26,43,16,10,2010,2,2,9,8,4,4,6,3,13,14,2,1,0,0
1,43,26,16,10,2010,2,2,8,9,4,4,3,6,14,13,1,2,0,0
1,45,42,16,10,2010,1,1,9,9,5,7,8,3,10,8,0,1,0,0
1,42,45,16,10,2010,1,1,9,9,7,5,3,8,8,10,1,0,0,0
0,6,23,17,10,2010,2,3,16,13,5,8,3,9,9,9,0,2,0,0
2,23,6,17,10,2010,3,2,13,16,8,5,9,3,9,9,2,0,0,0
2,16,22,17,10,2010,2,0,9,15,6,9,8,7,10,9,2,2,0,0
0,22,16,17,10,2010,0,2,15,9,9,6,7,8,9,10,2,2,0,0
1,5,37,18,10,2010,0,0,9,16,3,7,5,3,12,11,2,1,1,0
1,37,5,18,10,2010,0,0,16,9,7,3,3,5,11,12,1,2,0,1
2,4,6,23,10,2010,2,0,17,14,8,6,9,10,8,16,1,1,0,0
0,6,4,23,10,2010,0,2,14,17,6,8,10,9,16,8,1,1,0,0
2,12,45,23,10,2010,2,0,17,12,10,9,8,8,8,8,1,2,0,0
0,45,12,23,10,2010,0,2,12,17,9,10,8,8,8,8,2,1,0,0
2,37,2,23,10,2010,1,0,13,11,6,7,4,11,11,13,1,2,0,0
0,2,37,23,10,2010,0,1,11,13,7,6,11,4,13,11,2,1,0,0
1,39,16,23,10,2010,1,1,13,7,8,3,4,4,15,14,3,1,0,0
1,16,39,23,10,2010,1,1,7,13,3,8,4,4,14,15,1,3,0,0
2,41,17,23,10,2010,2,1,14,9,7,3,7,5,3,8,0,0,0,0
0,17,41,23,10,2010,1,2,9,14,3,7,5,7,8,3,0,0,0,0
0,42,26,23,10,2010,1,2,5,13,1,8,2,6,12,6,0,0,0,0
2,26,42,23,10,2010,2,1,13,5,8,1,6,2,6,12,0,0,0,0
1,43,7,23,10,2010,1,1,15,9,9,2,5,0,8,14,0,2,0,0
1,7,43,23,10,2010,1,1,9,15,2,9,0,5,14,8,2,0,0,0
2,22,5,24,10,2010,2,1,17,4,10,2,15,4,17,12,2,3,0,0
0,5,22,24,10,2010,1,2,4,17,2,10,4,15,12,17,3,2,0,0
0,23,1,24,10,2010,0,3,9,12,6,8,6,7,11,10,2,4,1,0
2,1,23,24,10,2010,3,0,12,9,8,6,7,6,10,11,4,2,0,1
0,36,24,24,10,2010,1,2,6,12,2,5,5,6,6,13,2,2,0,0
2,24,36,24,10,2010,2,1,12,6,5,2,6,5,13,6,2,2,0,0
2,1,42,30,10,2010,1,0,20,6,13,3,7,4,14,18,2,2,0,0
0,42,1,30,10,2010,0,1,6,20,3,13,4,7,18,14,2,2,0,0
0,5,12,30,10,2010,1,2,13,16,6,9,4,5,12,14,2,2,0,0
2,12,5,30,10,2010,2,1,16,13,9,6,5,4,14,12,2,2,0,0
2,16,36,30,10,2010,1,0,18,9,10,1,6,2,16,14,1,1,0,0
0,36,16,30,10,2010,0,1,9,18,1,10,2,6,14,16,1,1,0,0
2,17,43,30,10,2010,2,0,15,8,9,3,7,1,7,12,0,0,0,0
0,43,17,30,10,2010,0,2,8,15,3,9,1,7,12,7,0,0,0,0
2,24,39,30,10,2010,2,0,18,11,10,5,1,4,12,10,0,3,0,0
0,39,24,30,10,2010,0,2,11,18,5,10,4,1,10,12,3,0,0,0
2,45,23,30,10,2010,2,1,10,17,6,9,5,7,5,14,1,2,0,0
0,23,45,30,10,2010,1,2,17,10,9,6,7,5,14,5,2,1,0,0
1,2,4,31,10,2010,0,0,7,10,3,6,1,4,13,11,2,3,0,0
1,4,2,31,10,2010,0,0,10,7,6,3,4,1,11,13,3,2,0,0
0,7,22,31,10,2010,0,1,14,10,10,4,1,4,15,13,2,2,0,0
2,22,7,31,10,2010,1,0,10,14,4,10,4,1,13,15,2,2,0,0
2,26,37,31,10,2010,5,1,16,11,12,5,8,6,8,18,3,6,0,1
0,37,26,31,10,2010,1,5,11,16,5,12,6,8,18,8,6,3,1,0
2,6,41,01,11,2010,2,1,21,12,8,5,8,2,16,13,2,3,0,2
0,41,6,01,11,2010,1,2,12,21,5,8,2,8,13,16,3,2,2,0
1,4,42,06,11,2010,2,2,8,16,5,8,3,4,12,14,0,1,0,0
1,42,4,06,11,2010,2,2,16,8,8,5,4,3,14,12,1,0,0,0
2,5,43,06,11,2010,2,1,10,16,3,10,3,6,16,15,0,2,0,0
0,43,5,06,11,2010,1,2,16,10,10,3,6,3,15,16,2,0,0,0
1,6,16,06,11,2010,2,2,11,20,8,14,3,7,14,12,2,1,0,0
1,16,6,06,11,2010,2,2,20,11,14,8,7,3,12,14,1,2,0,0
2,7,39,06,11,2010,4,2,18,11,8,6,7,6,13,9,1,0,0,0
0,39,7,06,11,2010,2,4,11,18,6,8,6,7,9,13,0,1,0,0
1,17,2,06,11,2010,1,1,14,15,10,8,3,3,12,4,1,0,0,0
1,2,17,06,11,2010,1,1,15,14,8,10,3,3,4,12,0,1,0,0
2,24,45,06,11,2010,2,1,14,8,10,6,3,2,6,11,1,0,0,0
0,45,24,06,11,2010,1,2,8,14,6,10,2,3,11,6,0,1,0,0
2,37,36,06,11,2010,2,0,14,11,7,5,6,9,10,13,0,5,0,0
0,36,37,06,11,2010,0,2,11,14,5,7,9,6,13,10,5,0,0,0
0,1,26,07,11,2010,0,1,11,7,8,2,12,2,16,12,3,1,1,0
2,26,1,07,11,2010,1,0,7,11,2,8,2,12,12,16,1,3,0,1
2,22,12,07,11,2010,2,0,9,11,7,7,2,5,15,17,0,2,0,0
0,12,22,07,11,2010,0,2,11,9,7,7,5,2,17,15,2,0,0,0
0,41,23,07,11,2010,0,2,13,9,7,5,6,1,15,16,3,4,1,1
2,23,41,07,11,2010,2,0,9,13,5,7,1,6,16,15,4,3,1,1
2,36,4,09,11,2010,3,2,19,14,12,10,10,4,6,8,0,0,0,0
0,4,36,09,11,2010,2,3,14,19,10,12,4,10,8,6,0,0,0,0
1,39,37,09,11,2010,1,1,20,8,12,4,17,3,6,15,2,1,0,0
1,37,39,09,11,2010,1,1,8,20,4,12,3,17,15,6,1,2,0,0
2,2,6,10,11,2010,3,2,19,12,12,6,11,8,7,10,2,3,0,0
0,6,2,10,11,2010,2,3,12,19,6,12,8,11,10,7,3,2,0,0
2,12,17,10,11,2010,1,0,19,5,10,3,4,4,14,15,2,0,1,0
0,17,12,10,11,2010,0,1,5,19,3,10,4,4,15,14,0,2,0,1
1,16,7,10,11,2010,1,1,23,10,12,5,15,10,8,12,0,3,1,0
1,7,16,10,11,2010,1,1,10,23,5,12,10,15,12,8,3,0,0,1
1,23,24,10,11,2010,0,0,6,7,4,4,8,5,10,12,0,2,0,0
1,24,23,10,11,2010,0,0,7,6,4,4,5,8,12,10,2,0,0,0
0,26,5,10,11,2010,1,2,9,7,3,5,4,1,16,15,3,4,0,0
2,5,26,10,11,2010,2,1,7,9,5,3,1,4,15,16,4,3,0,0
1,42,41,10,11,2010,2,2,8,14,5,6,6,7,13,5,3,0,0,0
1,41,42,10,11,2010,2,2,14,8,6,5,7,6,5,13,0,3,0,0
1,43,22,10,11,2010,1,1,10,8,8,3,5,4,7,10,0,2,0,0
1,22,43,10,11,2010,1,1,8,10,3,8,4,5,10,7,2,0,0,0
0,45,1,10,11,2010,0,2,14,12,7,8,5,2,7,14,1,2,0,0
2,1,45,10,11,2010,2,0,12,14,8,7,2,5,14,7,2,1,0,0
1,2,24,13,11,2010,2,2,12,16,6,10,9,7,11,9,3,4,0,0
1,24,2,13,11,2010,2,2,16,12,10,6,7,9,9,11,4,3,0,0
1,23,4,13,11,2010,0,0,21,5,11,3,6,4,15,11,2,0,0,0
1,4,23,13,11,2010,0,0,5,21,3,11,4,6,11,15,0,2,0,0
1,26,17,13,11,2010,0,0,13,10,7,8,5,5,11,19,2,2,0,0
1,17,26,13,11,2010,0,0,10,13,8,7,5,5,19,11,2,2,0,0
2,36,22,13,11,2010,2,0,14,10,7,6,4,3,14,10,2,3,0,1
0,22,36,13,11,2010,0,2,10,14,6,7,3,4,10,14,3,2,1,0
