2,11,23,19,08,00,4,0
0,23,11,19,08,00,0,4
2,12,42,19,08,00,4,2
0,42,12,19,08,00,2,4
0,13,25,19,08,00,1,3
2,25,13,19,08,00,3,1
1,15,35,19,08,00,2,2
1,35,15,19,08,00,2,2
2,20,16,19,08,00,2,0
0,16,20,19,08,00,0,2
1,21,2,19,08,00,0,0
1,2,21,19,08,00,0,0
2,22,8,19,08,00,1,0
0,8,22,19,08,00,0,1
2,37,1,19,08,00,1,0
0,1,37,19,08,00,0,1
2,39,19,19,08,00,3,1
0,19,39,19,08,00,1,3
2,24,26,20,08,00,2,0
0,26,24,20,08,00,0,2
2,1,22,21,08,00,2,0
0,22,1,21,08,00,0,2
2,8,12,22,08,00,2,0
0,12,8,22,08,00,0,2
1,19,24,22,08,00,1,1
1,24,19,22,08,00,1,1
1,25,39,22,08,00,1,1
1,39,25,22,08,00,1,1
2,16,11,23,08,00,3,0
0,11,16,23,08,00,0,3
2,23,37,23,08,00,4,2
0,37,23,23,08,00,2,4
2,26,15,23,08,00,3,2
0,15,26,23,08,00,2,3
0,35,13,23,08,00,1,2
2,13,35,23,08,00,2,1
0,42,21,23,08,00,0,1
2,21,42,23,08,00,1,0
2,1,11,26,08,00,5,3
0,11,1,26,08,00,3,5
1,8,21,26,08,00,0,0
1,21,8,26,08,00,0,0
1,16,15,26,08,00,2,2
1,15,16,26,08,00,2,2
2,19,37,26,08,00,1,0
0,37,19,26,08,00,0,1
0,23,13,26,08,00,1,2
2,13,23,26,08,00,2,1
0,25,20,26,08,00,1,2
2,20,25,26,08,00,2,1
2,26,39,26,08,00,2,0
0,39,26,26,08,00,0,2
1,35,22,26,08,00,3,3
1,22,35,26,08,00,3,3
1,42,24,26,08,00,2,2
1,24,42,26,08,00,2,2
1,2,12,27,08,00,1,1
1,12,2,27,08,00,1,1
0,20,23,05,09,00,1,2
2,23,20,05,09,00,2,1
2,24,8,05,09,00,6,0
0,8,24,05,09,00,0,6
1,37,42,05,09,00,1,1
1,42,37,05,09,00,1,1
2,39,16,05,09,00,3,2
0,16,39,05,09,00,2,3
1,11,35,06,09,00,1,1
1,35,11,06,09,00,1,1
1,12,1,06,09,00,2,2
1,1,12,06,09,00,2,2
0,13,26,06,09,00,0,2
2,26,13,06,09,00,2,0
1,15,25,06,09,00,3,3
1,25,15,06,09,00,3,3
2,21,19,06,09,00,2,1
0,19,21,06,09,00,1,2
2,22,2,06,09,00,3,1
0,2,22,06,09,00,1,3
1,8,1,09,09,00,1,1
1,1,8,09,09,00,1,1
1,13,20,09,09,00,0,0
1,20,13,09,09,00,0,0
0,19,2,09,09,00,1,2
2,2,19,09,09,00,2,1
2,21,35,09,09,00,1,0
0,35,21,09,09,00,0,1
2,22,23,09,09,00,3,2
0,23,22,09,09,00,2,3
2,24,37,09,09,00,3,0
0,37,24,09,09,00,0,3
0,25,16,09,09,00,1,2
2,16,25,09,09,00,2,1
1,26,12,09,09,00,0,0
1,12,26,09,09,00,0,0
1,15,11,10,09,00,2,2
1,11,15,10,09,00,2,2
2,39,42,11,09,00,1,0
0,42,39,11,09,00,0,1
2,1,13,16,09,00,2,1
0,13,1,16,09,00,1,2
2,2,8,16,09,00,2,0
0,8,2,16,09,00,0,2
2,11,39,16,09,00,1,0
0,39,11,16,09,00,0,1
0,16,24,16,09,00,1,3
2,24,16,16,09,00,3,1
0,20,19,16,09,00,1,2
2,19,20,16,09,00,2,1
2,35,26,16,09,00,2,0
0,26,35,16,09,00,0,2
2,37,15,16,09,00,2,1
0,15,37,16,09,00,1,2
0,12,21,17,09,00,0,2
2,21,12,17,09,00,2,0
1,23,25,17,09,00,1,1
1,25,23,17,09,00,1,1
1,42,22,17,09,00,1,1
1,22,42,17,09,00,1,1
0,8,35,23,09,00,0,1
2,35,8,23,09,00,1,0
0,13,42,23,09,00,0,3
2,42,13,23,09,00,3,0
1,15,20,23,09,00,1,1
1,20,15,23,09,00,1,1
1,19,1,23,09,00,1,1
1,1,19,23,09,00,1,1
1,22,37,23,09,00,1,1
1,37,22,23,09,00,1,1
1,24,12,23,09,00,3,3
1,12,24,23,09,00,3,3
1,25,2,23,09,00,1,1
1,2,25,23,09,00,1,1
0,26,11,23,09,00,0,1
2,11,26,23,09,00,1,0
1,39,23,23,09,00,0,0
1,23,39,23,09,00,0,0
1,21,16,24,09,00,1,1
