2,9,9,4,4,0.0,4,5,0,0,1
1,1,0,9,9,0.0,10,11,0,0,3
0,1,0,0,3,1.0,10,11,2,4,0
2,0,1,3,0,0.5,8,9,1,2,2
2,2,0,0,1,0.0,12,13,0,1,3
0,0,2,1,0,0.0,8,11,0,2,3
2,3,0,1,1,1.0,8,11,2,4,0
0,0,3,1,1,0.0,6,7,0,1,2
0,3,0,0,1,0.0,7,5,0,1,2
2,0,3,1,0,0.0,6,7,0,2,3
2,4,1,0,1,0.5,10,9,1,2,2
0,1,4,1,0,0.5,6,7,1,1,1
1,0,0,0,2,0.0,10,10,0,1,3
1,0,0,2,0,0.0,8,8,0,0,3
1,3,1,0,0,1.0,8,9,2,2,1
1,1,3,0,0,0.0,3,6,0,0,3
1,0,0,2,3,1.0,8,9,2,2,1
1,0,0,3,2,0.5,6,8,1,0,0
0,2,1,0,1,1.0,9,9,2,4,0
2,1,2,1,0,0.0,7,12,0,0,2
2,1,1,0,1,0.0,4,5,0,0,1
0,1,1,1,0,0.0,6,5,0,1,2
2,0,0,6,1,1.0,9,10,2,2,1
0,0,0,1,6,1.0,11,13,2,5,0
2,2,2,2,1,0.5,7,7,1,1,1
0,2,2,1,2,0.0,6,7,0,0,1
0,1,2,2,0,0.0,6,6,0,1,3
2,2,1,0,2,1.0,9,10,2,2,1
0,0,1,3,2,0.0,8,9,0,0,2
2,1,0,2,3,0.5,7,7,1,1,1
1,0,2,1,0,0.0,6,9,0,1,2
1,2,0,0,1,1.0,6,8,2,2,1
1,0,2,0,1,0.5,5,6,1,0,0
1,2,0,1,0,0.5,10,12,1,2,2
1,1,1,1,2,0.5,5,5,1,1,1
1,1,1,2,1,0.0,5,5,0,0,2
1,1,1,2,2,1.0,6,5,2,2,0
1,1,1,2,2,0.0,11,7,0,0,4
1,1,3,0,0,0.5,5,6,1,0,0
1,3,1,0,0,0.5,4,5,1,0,0
1,0,2,2,1,0.0,10,12,0,0,4
1,2,0,1,2,1.0,5,6,2,1,0
0,3,0,3,1,0.0,10,6,0,1,2
2,0,3,1,3,0.5,2,5,1,1,1
2,1,0,3,1,0.5,8,9,1,1,1
0,0,1,1,3,0.0,6,5,0,0,2
0,2,1,1,3,0.0,7,3,0,0,2
2,1,2,3,1,0.5,4,7,1,1,1
2,0,0,0,2,0.0,5,5,0,1,2
0,0,0,2,0,1.0,6,7,2,2,0
0,2,0,1,2,0.5,1,3,1,0,0
2,0,2,2,1,0.5,11,6,1,1,1
0,2,3,1,3,0.0,8,8,0,1,4
2,3,2,3,1,1.0,8,9,2,3,1
2,2,1,0,1,1.0,7,8,2,4,1
0,1,2,1,0,0.5,1,2,1,0,0
2,1,1,0,2,1.0,8,8,2,4,1
0,1,1,2,0,0.0,9,9,0,1,4
1,1,1,0,0,1.0,6,6,2,3,1
1,1,1,0,0,0.0,3,5,0,0,1
0,1,2,1,3,0.5,5,4,1,1,1
2,2,1,3,1,0.5,2,1,1,0,0
0,0,3,0,3,0.0,6,6,0,0,2
2,3,0,3,0,0.5,5,5,1,1,1
0,0,3,3,0,1.0,7,11,2,3,2
2,3,0,0,3,0.0,7,9,0,0,2
0,2,3,1,2,0.5,2,2,1,0,0
2,3,2,2,1,1.0,8,9,2,3,2
2,3,1,1,2,1.0,9,10,2,3,1
0,1,3,2,1,1.0,8,10,2,2,1
2,2,0,1,1,0.0,13,13,0,3,4
